close;high;low;open;time;volume
1.1076;1.10765;1.10744;1.10763;1724134200000;3700.15
1.10779;1.10781;1.10759;1.10759;1724134800000;2675.73
1.1079;1.10797;1.10778;1.10778;1724135400000;2326.58
1.10787;1.1082;1.10779;1.1079;1724136000000;1913.62
1.1081;1.1082;1.10779;1.10787;1724136600000;1969.7
1.10765;1.1083;1.10764;1.1081;1724137200000;4735.65
1.1076;1.10794;1.10759;1.10766;1724137800000;3325.91
1.10735;1.10761;1.10733;1.10761;1724138400000;3065.84
1.10772;1.10772;1.10719;1.10736;1724139000000;2465.97
1.10756;1.10782;1.10732;1.10772;1724139600000;2890.28
1.10866;1.1087;1.10755;1.10755;1724140200000;2236.8
1.10866;1.10888;1.10844;1.10868;1724140800000;3305.55
1.10825;1.10875;1.10825;1.10866;1724141400000;2918.22
1.10785;1.10826;1.10777;1.10826;1724142000000;3131.94
1.10872;1.10875;1.10783;1.10784;1724142600000;1890.65
1.10848;1.10872;1.10846;1.10872;1724143200000;1953.55
1.10795;1.10846;1.10793;1.10846;1724143800000;3099.3
1.10806;1.10818;1.10785;1.10796;1724144400000;2847.64
1.10792;1.10808;1.10777;1.10806;1724145000000;2309.97
1.10764;1.10797;1.10754;1.10791;1724145600000;2681.09
1.10776;1.10791;1.10759;1.10764;1724146200000;2343.09
1.10813;1.10813;1.10774;1.10775;1724146800000;2219.94
1.10755;1.10816;1.10749;1.10814;1724147400000;2179.6
1.10759;1.10767;1.1075;1.10756;1724148000000;2891.04
1.10765;1.10777;1.10757;1.1076;1724148600000;2689.61
1.10799;1.108;1.10766;1.10767;1724149200000;1313.56
1.10774;1.10801;1.10773;1.10798;1724149800000;2254.93
1.10811;1.10814;1.10772;1.10773;1724150400000;1045.84
1.10819;1.10827;1.10797;1.10811;1724151000000;1895.5
1.10827;1.10842;1.10808;1.10821;1724151600000;1354.49
1.10837;1.10865;1.10826;1.10826;1724152200000;1206.62
1.10776;1.10836;1.10772;1.10836;1724152800000;1926.34
1.10775;1.10797;1.10766;1.10777;1724153400000;2020.77
1.1079;1.1079;1.1077;1.10777;1724154000000;1662.65
1.10808;1.10838;1.10785;1.10789;1724154600000;2351.26
1.10842;1.10849;1.10804;1.10809;1724155200000;2302.02
1.10833;1.10842;1.10813;1.10841;1724155800000;2363.0
1.10868;1.1088;1.10835;1.10835;1724156400000;1317.92
1.1084;1.10881;1.10822;1.10869;1724157000000;2951.8
1.1093;1.10933;1.10824;1.10841;1724157600000;2585.07
1.10983;1.10986;1.10926;1.1093;1724158200000;3584.78
1.10968;1.10986;1.10926;1.10982;1724158800000;3181.25
1.11006;1.11047;1.10968;1.10969;1724159400000;3833.32
1.1098;1.11028;1.10939;1.11007;1724160000000;4916.07
1.10967;1.11007;1.10952;1.10982;1724160600000;4117.12
1.11021;1.11051;1.10951;1.10968;1724161200000;5429.52
1.1102;1.11035;1.10982;1.11022;1724161800000;5511.07
1.10953;1.11022;1.1095;1.11021;1724162400000;5532.36
1.10971;1.10977;1.10935;1.10953;1724163000000;5519.62
1.11048;1.11052;1.1096;1.1097;1724163600000;4039.0
1.11081;1.11162;1.11029;1.11048;1724164200000;3613.52
1.11091;1.11137;1.11077;1.11082;1724164800000;5329.92
1.11117;1.11168;1.11081;1.11093;1724165400000;5014.09
1.11102;1.1112;1.1107;1.11116;1724166000000;4907.81
1.11047;1.1112;1.1104;1.11102;1724166600000;5583.27
1.11025;1.11052;1.10996;1.11046;1724167200000;3749.92
1.11046;1.11058;1.11008;1.11026;1724167800000;2857.39
1.11055;1.11061;1.11021;1.11045;1724168400000;1739.41
1.11051;1.11074;1.11035;1.11057;1724169000000;2449.55
1.11128;1.11135;1.11041;1.11057;1724169600000;2155.79
1.11107;1.1115;1.11106;1.11129;1724170200000;1899.97
1.11167;1.11182;1.11097;1.11107;1724170800000;1986.96
1.11177;1.11191;1.1116;1.11167;1724171400000;1704.66
1.11172;1.11182;1.11155;1.11175;1724172000000;1088.69
1.11148;1.11174;1.11143;1.11173;1724172600000;2198.04
1.11132;1.11148;1.11115;1.11148;1724173200000;2369.86
1.11103;1.11134;1.11088;1.11132;1724173800000;2578.55
1.11148;1.11148;1.11099;1.11103;1724174400000;2065.47
1.11155;1.11159;1.11128;1.11147;1724175000000;1072.11
1.11161;1.11167;1.11148;1.11156;1724175600000;1208.1
